29.5903 	EXP 	TextStim: contrast = None
29.5903 	EXP 	TextStim: autoDraw = None
30.0070 	EXP 	TextStim: autoDraw = None
30.0236 	EXP 	TextStim: autoDraw = None
30.3125 	DATA 	Keypress: z
30.3404 	EXP 	TextStim: autoDraw = None
30.3404 	EXP 	TextStim: autoDraw = None
30.3404 	EXP 	TextStim: autoDraw = None
30.3404 	EXP 	ImageStim: autoDraw = None
30.3404 	EXP 	TextStim: autoDraw = None
31.3570 	EXP 	TextStim: autoLog = None
31.3570 	EXP 	TextStim: units = None
31.3570 	EXP 	TextStim: useShaders = None
31.3570 	EXP 	TextStim: depth = None
31.3570 	EXP 	TextStim: ori = None
31.3570 	EXP 	TextStim: pos = None
31.3570 	EXP 	TextStim: colorSpace = None
31.3570 	EXP 	TextStim: opacity = None
31.3570 	EXP 	TextStim: contrast = None
31.3570 	EXP 	TextStim: autoDraw = None
31.7736 	EXP 	TextStim: autoDraw = None
31.7902 	EXP 	TextStim: autoDraw = None
32.1525 	DATA 	Keypress: z
32.1736 	EXP 	TextStim: autoDraw = None
32.1736 	EXP 	TextStim: autoDraw = None
32.1736 	EXP 	TextStim: autoDraw = None
32.1736 	EXP 	ImageStim: autoDraw = None
32.1736 	EXP 	TextStim: autoDraw = None
33.1903 	EXP 	TextStim: autoLog = None
33.1903 	EXP 	TextStim: units = None
33.1903 	EXP 	TextStim: useShaders = None
33.1903 	EXP 	TextStim: depth = None
33.1903 	EXP 	TextStim: ori = None
33.1903 	EXP 	TextStim: pos = None
33.1903 	EXP 	TextStim: colorSpace = None
33.1903 	EXP 	TextStim: opacity = None
33.1903 	EXP 	TextStim: contrast = None
33.1903 	EXP 	TextStim: autoDraw = None
33.6069 	EXP 	TextStim: autoDraw = None
33.6236 	EXP 	TextStim: autoDraw = None
34.1044 	DATA 	Keypress: f7
34.1045 	CRITICAL 	Experiment finished by user! f7 pressed.
